start-fire,slow-fire-spread,people-speed,evacuation time,evacuation time-std,deaths,deaths-std,exited,exited-std
0,1,0.1,172.6,1.897366596,86.2,6.613118276,133.8,6.613118276
0,1,0.2,91.8,2.043961296,56.9,3.956710194,163.1,3.956710194
0,1,0.3,77,0,29.5,3.979112129,190.5,3.979112129
0,1,0.4,58,0,10.4,2.988868236,209.6,2.988868236
0,1,0.5,47.8,0.421637021,0.7,0.823272602,219.3,0.823272602
0,2,0.1,180.4,1.776388346,48,4.5704364,172,4.5704364
0,2,0.2,115,0,7,2.160246899,213,2.160246899
0,2,0.3,83,0,0,0,220,0
0,2,0.4,63,0,0,0,220,0
0,2,0.5,50.7,0.483045892,0,0,220,0
0,3,0.1,228,0,24.4,3.893013686,195.6,3.893013686
0,3,0.2,124,0,0,0,220,0
0,3,0.3,83,0,0,0,220,0
0,3,0.4,63,0,0,0,220,0
0,3,0.5,51,0,0,0,220,0
0,4,0.1,228,0,7.4,1.712697677,212.6,1.712697677
0,4,0.2,124,0,0,0,220,0
0,4,0.3,83,0,0,0,220,0
0,4,0.4,63,0,0,0,220,0
0,4,0.5,50.7,0.483045892,0,0,220,0
10,1,0.1,177.3,11.19573331,81.7,5.01220732,138.3,5.01220732
10,1,0.2,102.1,2.998147576,43.7,4.423422506,176.3,4.423422506
10,1,0.3,77,0,15.5,2.87711275,204.5,2.87711275
10,1,0.4,59.2,1.229272594,1.2,0.788810638,218.8,0.788810638
10,1,0.5,50.9,0.316227766,0,0,220,0
10,2,0.1,190.2,2.043961296,43.2,6.1427464,176.8,6.1427464
10,2,0.2,115,0,2.8,2.043961296,217.2,2.043961296
10,2,0.3,83,0,0,0,220,0
10,2,0.4,63,0,0,0,220,0
10,2,0.5,50.7,0.483045892,0,0,220,0
10,3,0.1,228,0,20,5.142416207,200,5.142416207
10,3,0.2,124,0,0,0,220,0
10,3,0.3,83,0,0,0,220,0
10,3,0.4,63,0,0,0,220,0
10,3,0.5,50.7,0.483045892,0,0,220,0
10,4,0.1,228,0,4.2,1.475729575,215.8,1.475729575
10,4,0.2,124,0,0,0,220,0
10,4,0.3,83,0,0,0,220,0
10,4,0.4,63,0,0,0,220,0
10,4,0.5,50.8,0.421637021,0,0,220,0
20,1,0.1,176.1,12.96533841,74.9,5.646040894,145.1,5.646040894
20,1,0.2,109.3,2.002775851,33.8,3.224903099,186.2,3.224903099
20,1,0.3,78.8,0.788810638,4.9,1.370320319,215.1,1.370320319
20,1,0.4,63,0,0,0,220,0
20,1,0.5,50.6,0.516397779,0,0,220,0
20,2,0.1,201.2,1.619327707,39.7,6.667499948,180.3,6.667499948
20,2,0.2,116.2,1.619327707,1,0.942809042,219,0.942809042
20,2,0.3,83,0,0,0,220,0
20,2,0.4,63,0,0,0,220,0
20,2,0.5,50.6,0.516397779,0,0,220,0
20,3,0.1,228,0,14.6,3.204163958,205.4,3.204163958
20,3,0.2,124,0,0,0,220,0
20,3,0.3,83,0,0,0,220,0
20,3,0.4,63,0,0,0,220,0
20,3,0.5,50.7,0.483045892,0,0,220,0
20,4,0.1,228,0,3.8,2.201009869,216.2,2.201009869
20,4,0.2,124,0,0,0,220,0
20,4,0.3,83,0,0,0,220,0
20,4,0.4,63,0,0,0,220,0
20,4,0.5,50.7,0.483045892,0,0,220,0
30,1,0.1,176.6,13.52528496,68.3,5.207899982,151.7,5.207899982
30,1,0.2,115,0,21.4,4.7656176,198.6,4.7656176
30,1,0.3,82,0,0.4,0.516397779,219.6,0.516397779
30,1,0.4,63,0,0,0,220,0
30,1,0.5,50.6,0.516397779,0,0,220,0
30,2,0.1,213.3,9.51081256,32.4,5.059644256,187.6,5.059644256
30,2,0.2,122.6,0.966091783,0.2,0.421637021,219.8,0.421637021
30,2,0.3,83,0,0,0,220,0
30,2,0.4,63,0,0,0,220,0
30,2,0.5,50.7,0.483045892,0,0,220,0
30,3,0.1,228,0,10.8,2.97396107,209.2,2.97396107
30,3,0.2,124,0,0,0,220,0
30,3,0.3,83,0,0,0,220,0
30,3,0.4,63,0,0,0,220,0
30,3,0.5,50.9,0.316227766,0,0,220,0
30,4,0.1,228,0,2.4,1.712697677,217.6,1.712697677
30,4,0.2,124,0,0,0,220,0
30,4,0.3,83,0,0,0,220,0
30,4,0.4,63,0,0,0,220,0
30,4,0.5,50.7,0.483045892,0,0,220,0
